target_x_mm,target_y_mm,target_z_mm,success,actual_x_mm,actual_y_mm,actual_z_mm,error_mm,base_yaw_deg,shoulder_pitch_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg
-220.0,120.0,20.0,0,-216.9615242270663,125.26279441628823,20.000000000000075,6.076951545867358,150.0,85.3745881389497,-70.89730042462159,-75.98736296080148,-111.5983787336918
-220.0,120.0,140.0,0,-216.96152422706626,125.26279441628822,139.99999999999997,6.0769515458673595,150.0,66.43921282558387,-83.49760629728725,-64.27559091592369,-111.5983787336918
-220.0,120.0,260.0,0,-216.9615242270663,125.26279441628826,260.0,6.076951545867383,150.0,40.34186789081328,-87.10438079423963,-41.981404036025225,-111.5983787336918
-220.0,120.0,380.0,0,-216.96152422706632,125.26279441628823,380.0,6.0769515458673435,150.0,8.724049668122056,-76.07123917420562,-18.94799257374552,-111.5983787336918
-220.0,120.0,500.0,0,-216.96152422706632,125.26279441628823,500.0,6.0769515458673435,150.0,-31.95524016661053,-43.76389878393661,5.7876544919201205,-111.5983787336918
-220.0,240.0,20.0,1,-219.68688440702607,239.65830122522635,19.80865229078048,0.5014113810722424,132.51046114529512,69.2617970969068,-56.515714505195305,-64.46514880983328,-111.59837873369179
-220.0,240.0,140.0,1,-219.94851469369993,239.9438342113089,139.96217191008813,0.0850664268115386,132.51044707800085,52.57966577114379,-64.7584105345868,-57.253775523431734,-111.59837873369179
-220.0,240.0,260.0,1,-219.73398566989215,239.70980254897327,259.7562159483608,0.4630430306556038,132.51044707800085,30.19945496946242,-66.77798659551962,-39.421760135542826,-111.59837873369179
-220.0,240.0,380.0,1,-219.8631881751528,239.85075073653027,379.7856197294542,0.2948757678473641,132.51044707800085,0.6722877913834018,-55.105035625022865,-17.64231330573315,-111.59837873369179
-220.0,240.0,500.0,0,-259.04511504860426,282.59467096211375,423.9940648042757,95.47632789600846,132.51044707800085,-35.0,-9.366329529837383,2.5481155215273814e-14,-111.59837873369179
-220.0,360.0,20.0,1,-219.54219976315238,359.25087233970396,19.760806079461553,0.9099379318947317,121.42956561483851,44.99701498479116,-30.222922114587167,-49.9086516348041,-111.5983787336918
-220.0,360.0,140.0,1,-219.8054569031232,359.6816567505653,139.93493740454227,0.3787117404184283,121.42956561483851,31.124886030158134,-35.27388861778911,-46.470694313884216,-111.5983787336918
-220.0,360.0,260.0,1,-219.3477185833436,358.93263040910784,259.55788400765283,1.3267311109511453,121.42956561483851,11.15150795376243,-35.322625837964615,-30.59490850760321,-111.5983787336918
-220.0,360.0,380.0,1,-218.78467544813506,358.01128709694854,378.33793601442125,2.86259488389243,121.42956561483851,-29.965943174739483,-7.871397416997859,1.6873826986096032,-111.5983787336918
-220.0,360.0,500.0,0,-219.5269338402112,359.2258917385297,377.76763574430026,122.23573089211712,121.42956561483835,-35.0,0.12860258300214075,1.6873826986096032,-111.59837873369167
-100.0,120.0,20.0,0,-177.53486826343178,213.0418419161181,11.88152169148761,121.38513020060331,129.8055710922652,-35.0,40.0,95.0,-111.59837873369148
-100.0,120.0,140.0,0,-177.53486826343178,213.0418419161181,11.88152169148761,176.303104419237,129.8055710922652,-35.0,40.0,95.0,-111.59837873369148
-100.0,120.0,260.0,0,-177.5348682634319,213.04184191611805,11.88152169148761,276.10001706248295,129.80557109226524,-35.0,40.0,95.0,-111.59837873369148
-100.0,120.0,380.0,0,-177.5348682634319,213.04184191611805,11.88152169148761,387.5301978116626,129.80557109226524,-35.0,40.0,95.0,-111.59837873369148
-100.0,120.0,500.0,0,-177.53486826343186,213.04184191611805,11.88152169148761,502.91956514932815,129.80557109226524,-35.0,40.0,95.0,-111.59837873369149
-100.0,240.0,20.0,0,-106.66089594743056,255.98615027383354,11.88152169148761,19.126793391623995,112.61986494804042,-35.0,40.0,95.0,-111.59837873369149
-100.0,240.0,140.0,0,-106.66089594743056,255.98615027383354,11.88152169148761,129.28367653918588,112.61986494804042,-35.0,40.0,95.0,-111.59837873369149
-100.0,240.0,260.0,0,-119.79109390561874,287.49862537348497,42.0497794407129,223.9421922108328,112.61986494804043,-35.0,28.27768016213826,95.0,-111.59837873369142
-100.0,240.0,380.0,1,-99.76985080572074,239.4476419337297,382.63530142502844,2.7023844444782767,112.61986494804043,-32.80251827438044,-77.6035843365019,95.0,-111.59837873369142
-100.0,240.0,500.0,1,-100.93689126687538,242.2485390405009,498.3592470620262,2.9369649752888867,112.61986494804044,-35.0,-43.482881117298035,17.724083784226146,-111.5983787336914
-100.0,360.0,20.0,1,-99.82561477900882,359.37221320443183,19.937389707372994,0.6545582592349475,105.52411099675426,40.12823662664293,-96.23643180640197,86.837577111437,-111.59837873369142
-100.0,360.0,140.0,1,-99.52122645060876,358.27641522219176,140.02825616758767,1.7890687546585786,105.52411099675426,28.316162876458897,-102.21639625405422,80.0853562947917,-111.59837873369142
-100.0,360.0,260.0,1,-99.85690342493987,359.4848523297834,259.7547406965354,0.5882226431033257,105.52411099675426,10.473482721559929,-88.79879533445963,62.70120767663597,-111.59837873369142
-100.0,360.0,380.0,1,-99.82572831104397,359.3726219197583,379.3772165780506,0.9010177954926395,105.52411099675426,-15.177663373576317,-54.060056572089664,36.216511228569885,-111.59837873369142
-100.0,360.0,500.0,0,-106.1191899447694,382.0290838011703,409.75163965186414,93.09936393029832,105.52411099675425,-35.0,-6.060056572089668,0.11278164807235246,-111.59837873369139
20.0,120.0,20.0,0,23.76126576499405,142.5675945899643,31.16063027298409,25.455905283885528,80.53767779197439,105.00000000000001,-86.64772183130812,-95.0,-111.59837873369129
20.0,120.0,140.0,1,19.970122563432497,119.82073538059471,139.74728842771978,0.311274161713945,80.53767779197436,83.416513890329,-107.29011951078697,-81.64164144940926,-111.59837873369129
20.0,120.0,260.0,1,19.929952840163054,119.57971704097831,259.36439451704433,0.7652050053472901,80.5376777919744,47.5650002634495,-113.153385724707,-47.385396360084414,-111.59837873369129
20.0,120.0,380.0,1,19.992947764455813,119.95768658673482,379.7614070151475,0.24241858713628464,80.53767779197439,9.981186583614384,-100.32982203108702,-18.417388545948278,-111.59837873369129
20.0,120.0,500.0,1,19.993261097405117,119.95956658443063,499.7748145066141,0.2288859548645161,80.53767779197439,-27.223754910686708,-72.07323443091114,5.047055679085719,-111.59837873369129
20.0,240.0,20.0,1,19.921985188544316,239.07147326122808,19.141125019049536,1.267246798505935,85.23651005845005,84.7726093128998,-67.92903530241384,-82.39290751090327,-111.5983787336913
20.0,240.0,140.0,1,19.950102099374114,239.40122519248789,139.78244828166154,0.6390225510496954,85.23635830927381,65.65973454982546,-81.70625593689414,-69.81204873563244,-111.5983787336913
20.0,240.0,260.0,1,19.98205518191911,239.78466218302935,259.7700704825782,0.315531258190776,85.23635830927383,39.70604641050891,-85.66083610880648,-47.1137200799967,-111.5983787336913
20.0,240.0,380.0,1,19.967484302059546,239.60981162471376,379.48447801945593,0.6473539613265128,85.23635830927383,8.778204500224714,-75.48218736393791,-23.54147484835698,-111.5983787336913
20.0,240.0,500.0,1,19.96207393192424,239.5448871830918,499.2187855549175,0.9049099800308192,85.23635830927384,-30.12047273117103,-46.106361247333886,2.131938745086993,-111.5983787336913
20.0,360.0,20.0,1,19.87933025513809,357.83633305002957,19.685542493054154,2.1897258690059904,86.82024426926651,62.85145087318781,-51.59762499113991,-56.67053794946481,-111.59837873369129
20.0,360.0,140.0,1,19.941404696031906,358.9452845285823,139.86997663257364,1.0643139627815648,86.82016988013584,46.98010624713927,-58.28439368572663,-50.700592482353755,-111.59837873369129
20.0,360.0,260.0,1,19.984333689957577,359.71800641923824,259.833782655276,0.3277102661624684,86.82016988013578,25.163465465914697,-58.98254884929482,-33.910207392277236,-111.59837873369129
20.0,360.0,380.0,1,19.976771042738434,359.5818787692894,379.64002296847326,0.5522213426273657,86.82016988013577,-5.043448525948748,-45.2409292768044,-12.177775860641992,-111.59837873369129
20.0,360.0,500.0,0,21.872300052589082,393.70140094660275,412.12942058826303,94.13038117103837,86.82016988013577,-35.0,-5.314225017602845,-2.4233278510153724,-111.59837873369129
140.0,120.0,20.0,1,141.5975043921121,121.3692894789532,19.458226068050045,2.172669545358861,40.60129464500447,92.53744992642666,-72.47778904251302,-95.0,-111.59837873369116
140.0,120.0,140.0,1,139.91218518446385,119.92473015811191,139.8825821783376,0.16481485300012166,40.60129464500447,71.34303509209518,-90.386548825547,-79.25983904666383,-111.59837873369116
140.0,120.0,260.0,1,139.96506322469057,119.97005419259187,259.890997600019,0.1183167479774865,40.60129464500447,42.43376385284519,-95.24655244881883,-52.61112747771865,-111.59837873369116
140.0,120.0,380.0,1,140.5446379707277,120.46683254633801,378.1740406658064,1.9618080017187096,40.60129464500447,10.433763852845198,-85.06022401091245,-27.0251387551421,-111.59837873369116
140.0,120.0,500.0,1,139.94603754045443,119.95374646324666,499.78787636868304,0.2237135929385852,40.60129464500447,-26.619919270248626,-58.46645334235578,-1.6441535705632497,-111.59837873369116
140.0,240.0,20.0,1,139.38205980287975,238.9425481387098,18.888629031552348,1.6538439937525475,59.74375843510229,76.99943146723115,-60.88454591299653,-77.11472543975098,-111.59837873369113
140.0,240.0,140.0,1,139.8472615874248,239.7381627212998,139.88071527936927,0.3257554723547566,59.74356283647075,58.98150772236034,-72.21962548379295,-66.92589729235316,-111.59837873369113
140.0,240.0,260.0,1,139.60561258731366,239.3239072925376,259.4844049628144,0.9372731846904062,59.74356283647073,35.23739024331873,-75.55752111174391,-46.96328098188303,-111.59837873369113
140.0,240.0,380.0,1,139.91056914942135,239.84668997043653,379.7705565894913,0.2900795077661021,59.74356283647073,5.5797813341100815,-65.33478185443228,-24.189872450296463,-111.59837873369113
140.0,240.0,500.0,0,146.00134074502085,250.28801270575002,490.98071856802517,14.94010487649559,59.74356283647073,-35.0,-29.462061259998716,0.01723050988240154,-111.59837873369113
140.0,360.0,20.0,1,138.93383602121136,357.2584331571911,20.34701908640455,2.9619784991765843,68.74949436685898,55.172312405043805,-41.72407373047873,-56.160973104197076,-111.59837873369109
140.0,360.0,140.0,1,139.73262954639273,359.31247597643846,139.90158112264663,0.7442194016927435,68.74949449286676,40.12035028125711,-47.74687481487997,-50.68656344568335,-111.59837873369109
140.0,360.0,260.0,1,139.95789079754402,359.89171919368465,259.92561679166204,0.13795209179433957,68.74949449286676,19.296989372929023,-48.26017518896751,-34.37925340631947,-111.59837873369109
140.0,360.0,380.0,1,139.7328999239743,359.31317123307684,379.44242809325266,0.9241009884639191,68.74949449286676,-11.558960069313759,-33.38636639217058,-10.70024096580523,-111.59837873369109
140.0,360.0,500.0,0,152.38495505975135,391.8470272965023,378.2248385768843,126.47849698301334,68.7494944928667,-35.0,-1.3863663921705809,4.394938396224045,-111.59837873369108
