x_mm,y_mm,z_mm,ok,error_code,alpha_deg,servo0_pwm,servo1_pwm,servo2_pwm,servo3_pwm,command
40.0,360.0,420.0,0,8,,,,,,
40.0,400.0,20.0,0,8,,,,,,
40.0,400.0,60.0,0,8,,,,,,
40.0,400.0,100.0,0,8,,,,,,
40.0,400.0,140.0,0,8,,,,,,
40.0,400.0,180.0,0,8,,,,,,
40.0,400.0,220.0,0,8,,,,,,
40.0,400.0,260.0,0,8,,,,,,
40.0,400.0,300.0,0,8,,,,,,
40.0,400.0,340.0,0,8,,,,,,
40.0,400.0,380.0,0,8,,,,,,
40.0,400.0,420.0,0,8,,,,,,
80.0,80.0,20.0,1,0,-100,1166,1271,2023,2155,{#000P1166T1500!#001P1271T1500!#002P2023T1500!#003P2155T1500!}
80.0,80.0,60.0,1,0,-83,1166,1472,2095,2158,{#000P1166T1500!#001P1472T1500!#002P2095T1500!#003P2158T1500!}
80.0,80.0,100.0,1,0,-63,1166,1648,2117,2163,{#000P1166T1500!#001P1648T1500!#002P2117T1500!#003P2163T1500!}
80.0,80.0,140.0,1,0,-44,1166,1761,2096,2158,{#000P1166T1500!#001P1761T1500!#002P2096T1500!#003P2158T1500!}
80.0,80.0,180.0,1,0,-30,1166,1787,2014,2162,{#000P1166T1500!#001P1787T1500!#002P2014T1500!#003P2162T1500!}
80.0,80.0,220.0,1,0,-18,1166,1769,1907,2162,{#000P1166T1500!#001P1769T1500!#002P1907T1500!#003P2162T1500!}
80.0,80.0,260.0,1,0,-6,1166,1734,1803,2142,{#000P1166T1500!#001P1734T1500!#002P1803T1500!#003P2142T1500!}
80.0,80.0,300.0,0,8,,,,,,
80.0,80.0,340.0,0,8,,,,,,
80.0,80.0,380.0,0,8,,,,,,
80.0,80.0,420.0,0,8,,,,,,
80.0,120.0,20.0,1,0,-93,1250,1218,1923,2150,{#000P1250T1500!#001P1218T1500!#002P1923T1500!#003P2150T1500!}
80.0,120.0,60.0,1,0,-81,1250,1364,1966,2164,{#000P1250T1500!#001P1364T1500!#002P1966T1500!#003P2164T1500!}
80.0,120.0,100.0,1,0,-65,1250,1507,1997,2157,{#000P1250T1500!#001P1507T1500!#002P1997T1500!#003P2157T1500!}
80.0,120.0,140.0,1,0,-50,1250,1593,1965,2164,{#000P1250T1500!#001P1593T1500!#002P1965T1500!#003P2164T1500!}
80.0,120.0,180.0,1,0,-35,1250,1647,1922,2151,{#000P1250T1500!#001P1647T1500!#002P1922T1500!#003P2151T1500!}
80.0,120.0,220.0,1,0,-23,1250,1635,1807,2165,{#000P1250T1500!#001P1635T1500!#002P1807T1500!#003P2165T1500!}
80.0,120.0,260.0,1,0,-10,1250,1615,1711,2144,{#000P1250T1500!#001P1615T1500!#002P1711T1500!#003P2144T1500!}
80.0,120.0,300.0,0,8,,,,,,
80.0,120.0,340.0,0,8,,,,,,
80.0,120.0,380.0,0,8,,,,,,
80.0,120.0,420.0,0,8,,,,,,
80.0,160.0,20.0,1,0,-85,1303,1147,1797,2146,{#000P1303T1500!#001P1147T1500!#002P1797T1500!#003P2146T1500!}
80.0,160.0,60.0,1,0,-75,1303,1276,1850,2147,{#000P1303T1500!#001P1276T1500!#002P1850T1500!#003P2147T1500!}
80.0,160.0,100.0,1,0,-63,1303,1382,1864,2151,{#000P1303T1500!#001P1382T1500!#002P1864T1500!#003P2151T1500!}
80.0,160.0,140.0,1,0,-50,1303,1459,1844,2152,{#000P1303T1500!#001P1459T1500!#002P1844T1500!#003P2152T1500!}
80.0,160.0,180.0,1,0,-37,1303,1501,1791,2151,{#000P1303T1500!#001P1501T1500!#002P1791T1500!#003P2151T1500!}
80.0,160.0,220.0,1,0,-24,1303,1513,1716,2141,{#000P1303T1500!#001P1513T1500!#002P1716T1500!#003P2141T1500!}
80.0,160.0,260.0,1,0,-11,1303,1489,1608,2129,{#000P1303T1500!#001P1489T1500!#002P1608T1500!#003P2129T1500!}
80.0,160.0,300.0,0,8,,,,,,
80.0,160.0,340.0,0,8,,,,,,
80.0,160.0,380.0,0,8,,,,,,
80.0,160.0,420.0,0,8,,,,,,
80.0,200.0,20.0,1,0,-76,1338,1044,1612,2161,{#000P1338T1500!#001P1044T1500!#002P1612T1500!#003P2161T1500!}
80.0,200.0,60.0,1,0,-68,1338,1165,1685,2150,{#000P1338T1500!#001P1165T1500!#002P1685T1500!#003P2150T1500!}
80.0,200.0,100.0,1,0,-58,1338,1259,1709,2145,{#000P1338T1500!#001P1259T1500!#002P1709T1500!#003P2145T1500!}
80.0,200.0,140.0,1,0,-47,1338,1319,1683,2151,{#000P1338T1500!#001P1319T1500!#002P1683T1500!#003P2151T1500!}
80.0,200.0,180.0,1,0,-35,1338,1355,1632,2148,{#000P1338T1500!#001P1355T1500!#002P1632T1500!#003P2148T1500!}
80.0,200.0,220.0,1,0,-22,1338,1377,1588,2118,{#000P1338T1500!#001P1377T1500!#002P1588T1500!#003P2118T1500!}
80.0,200.0,260.0,1,0,-8,1338,1403,1593,2035,{#000P1338T1500!#001P1403T1500!#002P1593T1500!#003P2035T1500!}
80.0,200.0,300.0,0,8,,,,,,
80.0,200.0,340.0,0,8,,,,,,
80.0,200.0,380.0,0,8,,,,,,
80.0,200.0,420.0,0,8,,,,,,
80.0,240.0,20.0,1,0,-63,1363,1010,1601,2042,{#000P1363T1500!#001P1010T1500!#002P1601T1500!#003P2042T1500!}
80.0,240.0,60.0,1,0,-57,1363,1096,1620,2064,{#000P1363T1500!#001P1096T1500!#002P1620T1500!#003P2064T1500!}
80.0,240.0,100.0,1,0,-49,1363,1165,1615,2079,{#000P1363T1500!#001P1165T1500!#002P1615T1500!#003P2079T1500!}
80.0,240.0,140.0,1,0,-39,1363,1230,1622,2063,{#000P1363T1500!#001P1230T1500!#002P1622T1500!#003P2063T1500!}
80.0,240.0,180.0,1,0,-28,1363,1265,1591,2048,{#000P1363T1500!#001P1265T1500!#002P1591T1500!#003P2048T1500!}
80.0,240.0,220.0,1,0,-15,1363,1319,1636,1960,{#000P1363T1500!#001P1319T1500!#002P1636T1500!#003P1960T1500!}
80.0,240.0,260.0,1,0,-2,1363,1305,1572,1914,{#000P1363T1500!#001P1305T1500!#002P1572T1500!#003P1914T1500!}
80.0,240.0,300.0,0,8,,,,,,
80.0,240.0,340.0,0,8,,,,,,
80.0,240.0,380.0,0,8,,,,,,
80.0,240.0,420.0,0,8,,,,,,
80.0,280.0,20.0,1,0,-48,1381,971,1629,1863,{#000P1381T1500!#001P0971T1500!#002P1629T1500!#003P1863T1500!}
80.0,280.0,60.0,1,0,-44,1381,1025,1585,1932,{#000P1381T1500!#001P1025T1500!#002P1585T1500!#003P1932T1500!}
80.0,280.0,100.0,1,0,-37,1381,1095,1600,1934,{#000P1381T1500!#001P1095T1500!#002P1600T1500!#003P1934T1500!}
80.0,280.0,140.0,1,0,-28,1381,1154,1617,1910,{#000P1381T1500!#001P1154T1500!#002P1617T1500!#003P1910T1500!}
80.0,280.0,180.0,1,0,-18,1381,1171,1564,1906,{#000P1381T1500!#001P1171T1500!#002P1564T1500!#003P1906T1500!}
80.0,280.0,220.0,1,0,-5,1381,1215,1618,1800,{#000P1381T1500!#001P1215T1500!#002P1618T1500!#003P1800T1500!}
80.0,280.0,260.0,0,8,,,,,,
80.0,280.0,300.0,0,8,,,,,,
80.0,280.0,340.0,0,8,,,,,,
80.0,280.0,380.0,0,8,,,,,,
80.0,280.0,420.0,0,8,,,,,,
80.0,320.0,20.0,1,0,-27,1396,851,1587,1631,{#000P1396T1500!#001P0851T1500!#002P1587T1500!#003P1631T1500!}
80.0,320.0,60.0,1,0,-26,1396,920,1556,1723,{#000P1396T1500!#001P0920T1500!#002P1556T1500!#003P1723T1500!}
80.0,320.0,100.0,1,0,-20,1396,997,1599,1712,{#000P1396T1500!#001P0997T1500!#002P1599T1500!#003P1712T1500!}
80.0,320.0,140.0,1,0,-12,1396,1029,1571,1713,{#000P1396T1500!#001P1029T1500!#002P1571T1500!#003P1713T1500!}
80.0,320.0,180.0,1,0,0,1396,1048,1573,1642,{#000P1396T1500!#001P1048T1500!#002P1573T1500!#003P1642T1500!}
80.0,320.0,220.0,0,8,,,,,,
80.0,320.0,260.0,0,8,,,,,,
80.0,320.0,300.0,0,8,,,,,,
80.0,320.0,340.0,0,8,,,,,,
80.0,320.0,380.0,0,8,,,,,,
80.0,320.0,420.0,0,8,,,,,,
80.0,360.0,20.0,0,8,,,,,,
80.0,360.0,60.0,0,8,,,,,,
80.0,360.0,100.0,0,8,,,,,,
80.0,360.0,140.0,0,8,,,,,,
80.0,360.0,180.0,0,8,,,,,,
80.0,360.0,220.0,0,8,,,,,,
80.0,360.0,260.0,0,8,,,,,,
80.0,360.0,300.0,0,8,,,,,,
80.0,360.0,340.0,0,8,,,,,,
80.0,360.0,380.0,0,8,,,,,,
80.0,360.0,420.0,0,8,,,,,,
80.0,400.0,20.0,0,8,,,,,,
80.0,400.0,60.0,0,8,,,,,,
80.0,400.0,100.0,0,8,,,,,,
80.0,400.0,140.0,0,8,,,,,,
80.0,400.0,180.0,0,8,,,,,,
80.0,400.0,220.0,0,8,,,,,,
80.0,400.0,260.0,0,8,,,,,,
80.0,400.0,300.0,0,8,,,,,,
80.0,400.0,340.0,0,8,,,,,,
80.0,400.0,380.0,0,8,,,,,,
80.0,400.0,420.0,0,8,,,,,,
120.0,80.0,20.0,1,0,-93,1082,1218,1923,2150,{#000P1082T1500!#001P1218T1500!#002P1923T1500!#003P2150T1500!}
120.0,80.0,60.0,1,0,-81,1082,1364,1966,2164,{#000P1082T1500!#001P1364T1500!#002P1966T1500!#003P2164T1500!}
120.0,80.0,100.0,1,0,-65,1082,1507,1997,2157,{#000P1082T1500!#001P1507T1500!#002P1997T1500!#003P2157T1500!}
120.0,80.0,140.0,1,0,-50,1082,1593,1965,2164,{#000P1082T1500!#001P1593T1500!#002P1965T1500!#003P2164T1500!}
120.0,80.0,180.0,1,0,-35,1082,1647,1922,2151,{#000P1082T1500!#001P1647T1500!#002P1922T1500!#003P2151T1500!}
120.0,80.0,220.0,1,0,-23,1082,1635,1807,2165,{#000P1082T1500!#001P1635T1500!#002P1807T1500!#003P2165T1500!}
120.0,80.0,260.0,1,0,-10,1082,1615,1711,2144,{#000P1082T1500!#001P1615T1500!#002P1711T1500!#003P2144T1500!}
120.0,80.0,300.0,0,8,,,,,,
120.0,80.0,340.0,0,8,,,,,,
120.0,80.0,380.0,0,8,,,,,,
120.0,80.0,420.0,0,8,,,,,,
120.0,120.0,20.0,1,0,-88,1166,1154,1807,2165,{#000P1166T1500!#001P1154T1500!#002P1807T1500!#003P2165T1500!}
120.0,120.0,60.0,1,0,-77,1166,1295,1874,2157,{#000P1166T1500!#001P1295T1500!#002P1874T1500!#003P2157T1500!}
120.0,120.0,100.0,1,0,-64,1166,1411,1896,2156,{#000P1166T1500!#001P1411T1500!#002P1896T1500!#003P2156T1500!}
120.0,120.0,140.0,1,0,-50,1166,1498,1886,2149,{#000P1166T1500!#001P1498T1500!#002P1886T1500!#003P2149T1500!}
120.0,120.0,180.0,1,0,-37,1166,1536,1823,2154,{#000P1166T1500!#001P1536T1500!#002P1823T1500!#003P2154T1500!}
120.0,120.0,220.0,1,0,-24,1166,1545,1743,2147,{#000P1166T1500!#001P1545T1500!#002P1743T1500!#003P2147T1500!}
120.0,120.0,260.0,1,0,-11,1166,1524,1640,2132,{#000P1166T1500!#001P1524T1500!#002P1640T1500!#003P2132T1500!}
120.0,120.0,300.0,0,8,,,,,,
120.0,120.0,340.0,0,8,,,,,,
120.0,120.0,380.0,0,8,,,,,,
120.0,120.0,420.0,0,8,,,,,,
120.0,160.0,20.0,1,0,-80,1226,1092,1699,2152,{#000P1226T1500!#001P1092T1500!#002P1699T1500!#003P2152T1500!}
120.0,160.0,60.0,1,0,-71,1226,1217,1766,2143,{#000P1226T1500!#001P1217T1500!#002P1766T1500!#003P2143T1500!}
120.0,160.0,100.0,1,0,-61,1226,1300,1756,2162,{#000P1226T1500!#001P1300T1500!#002P1756T1500!#003P2162T1500!}
120.0,160.0,140.0,1,0,-49,1226,1372,1742,2159,{#000P1226T1500!#001P1372T1500!#002P1742T1500!#003P2159T1500!}
120.0,160.0,180.0,1,0,-36,1226,1425,1718,2139,{#000P1226T1500!#001P1425T1500!#002P1718T1500!#003P2139T1500!}
120.0,160.0,220.0,1,0,-23,1226,1444,1663,2117,{#000P1226T1500!#001P1444T1500!#002P1663T1500!#003P2117T1500!}
120.0,160.0,260.0,1,0,-10,1226,1411,1536,2115,{#000P1226T1500!#001P1411T1500!#002P1536T1500!#003P2115T1500!}
120.0,160.0,300.0,0,8,,,,,,
120.0,160.0,340.0,0,8,,,,,,
120.0,160.0,380.0,0,8,,,,,,
120.0,160.0,420.0,0,8,,,,,,
120.0,200.0,20.0,1,0,-70,1270,1024,1594,2115,{#000P1270T1500!#001P1024T1500!#002P1594T1500!#003P2115T1500!}
120.0,200.0,60.0,1,0,-63,1270,1130,1647,2116,{#000P1270T1500!#001P1130T1500!#002P1647T1500!#003P2116T1500!}
120.0,200.0,100.0,1,0,-54,1270,1213,1661,2118,{#000P1270T1500!#001P1213T1500!#002P1661T1500!#003P2118T1500!}
120.0,200.0,140.0,1,0,-44,1270,1257,1610,2139,{#000P1270T1500!#001P1257T1500!#002P1610T1500!#003P2139T1500!}
120.0,200.0,180.0,1,0,-32,1270,1311,1608,2106,{#000P1270T1500!#001P1311T1500!#002P1608T1500!#003P2106T1500!}
120.0,200.0,220.0,1,0,-19,1270,1352,1615,2045,{#000P1270T1500!#001P1352T1500!#002P1615T1500!#003P2045T1500!}
120.0,200.0,260.0,1,0,-5,1270,1380,1635,1949,{#000P1270T1500!#001P1380T1500!#002P1635T1500!#003P1949T1500!}
120.0,200.0,300.0,0,8,,,,,,
120.0,200.0,340.0,0,8,,,,,,
120.0,200.0,380.0,0,8,,,,,,
120.0,200.0,420.0,0,8,,,,,,
120.0,240.0,20.0,1,0,-57,1303,1007,1635,1961,{#000P1303T1500!#001P1007T1500!#002P1635T1500!#003P1961T1500!}
120.0,240.0,60.0,1,0,-52,1303,1071,1609,2014,{#000P1303T1500!#001P1071T1500!#002P1609T1500!#003P2014T1500!}
120.0,240.0,100.0,1,0,-45,1303,1102,1528,2074,{#000P1303T1500!#001P1102T1500!#002P1528T1500!#003P2074T1500!}
120.0,240.0,140.0,1,0,-35,1303,1198,1612,2011,{#000P1303T1500!#001P1198T1500!#002P1612T1500!#003P2011T1500!}
120.0,240.0,180.0,1,0,-24,1303,1246,1619,1971,{#000P1303T1500!#001P1246T1500!#002P1619T1500!#003P1971T1500!}
120.0,240.0,220.0,1,0,-12,1303,1265,1594,1926,{#000P1303T1500!#001P1265T1500!#002P1594T1500!#003P1926T1500!}
120.0,240.0,260.0,0,8,,,,,,
120.0,240.0,300.0,0,8,,,,,,
120.0,240.0,340.0,0,8,,,,,,
120.0,240.0,380.0,0,8,,,,,,
120.0,240.0,420.0,0,8,,,,,,
120.0,280.0,20.0,1,0,-43,1328,893,1508,1870,{#000P1328T1500!#001P0893T1500!#002P1508T1500!#003P1870T1500!}
120.0,280.0,60.0,1,0,-39,1328,970,1518,1907,{#000P1328T1500!#001P0970T1500!#002P1518T1500!#003P1907T1500!}
120.0,280.0,100.0,1,0,-32,1328,1066,1599,1870,{#000P1328T1500!#001P1066T1500!#002P1599T1500!#003P1870T1500!}
120.0,280.0,140.0,1,0,-24,1328,1087,1531,1899,{#000P1328T1500!#001P1087T1500!#002P1531T1500!#003P1899T1500!}
120.0,280.0,180.0,1,0,-13,1328,1149,1594,1817,{#000P1328T1500!#001P1149T1500!#002P1594T1500!#003P1817T1500!}
120.0,280.0,220.0,1,0,0,1328,1163,1594,1735,{#000P1328T1500!#001P1163T1500!#002P1594T1500!#003P1735T1500!}
120.0,280.0,260.0,0,8,,,,,,
120.0,280.0,300.0,0,8,,,,,,
120.0,280.0,340.0,0,8,,,,,,
120.0,280.0,380.0,0,8,,,,,,
120.0,280.0,420.0,0,8,,,,,,
120.0,320.0,20.0,0,8,,,,,,
120.0,320.0,60.0,1,0,-16,1347,857,1540,1602,{#000P1347T1500!#001P0857T1500!#002P1540T1500!#003P1602T1500!}
120.0,320.0,100.0,1,0,-12,1347,919,1532,1642,{#000P1347T1500!#001P0919T1500!#002P1532T1500!#003P1642T1500!}
120.0,320.0,140.0,1,0,-2,1347,967,1572,1576,{#000P1347T1500!#001P0967T1500!#002P1572T1500!#003P1576T1500!}
120.0,320.0,180.0,0,8,,,,,,
120.0,320.0,220.0,0,8,,,,,,
120.0,320.0,260.0,0,8,,,,,,
120.0,320.0,300.0,0,8,,,,,,
120.0,320.0,340.0,0,8,,,,,,
120.0,320.0,380.0,0,8,,,,,,
120.0,320.0,420.0,0,8,,,,,,
120.0,360.0,20.0,0,8,,,,,,
120.0,360.0,60.0,0,8,,,,,,
120.0,360.0,100.0,0,8,,,,,,
120.0,360.0,140.0,0,8,,,,,,
120.0,360.0,180.0,0,8,,,,,,
120.0,360.0,220.0,0,8,,,,,,
120.0,360.0,260.0,0,8,,,,,,
120.0,360.0,300.0,0,8,,,,,,
120.0,360.0,340.0,0,8,,,,,,
120.0,360.0,380.0,0,8,,,,,,
120.0,360.0,420.0,0,8,,,,,,
120.0,400.0,20.0,0,8,,,,,,
120.0,400.0,60.0,0,8,,,,,,
120.0,400.0,100.0,0,8,,,,,,
120.0,400.0,140.0,0,8,,,,,,
120.0,400.0,180.0,0,8,,,,,,
120.0,400.0,220.0,0,8,,,,,,
120.0,400.0,260.0,0,8,,,,,,
120.0,400.0,300.0,0,8,,,,,,
120.0,400.0,340.0,0,8,,,,,,
120.0,400.0,380.0,0,8,,,,,,
120.0,400.0,420.0,0,8,,,,,,
160.0,80.0,20.0,1,0,-85,1030,1147,1797,2146,{#000P1030T1500!#001P1147T1500!#002P1797T1500!#003P2146T1500!}
160.0,80.0,60.0,1,0,-75,1030,1276,1850,2147,{#000P1030T1500!#001P1276T1500!#002P1850T1500!#003P2147T1500!}
160.0,80.0,100.0,1,0,-63,1030,1382,1864,2151,{#000P1030T1500!#001P1382T1500!#002P1864T1500!#003P2151T1500!}
160.0,80.0,140.0,1,0,-50,1030,1459,1844,2152,{#000P1030T1500!#001P1459T1500!#002P1844T1500!#003P2152T1500!}
160.0,80.0,180.0,1,0,-37,1030,1501,1791,2151,{#000P1030T1500!#001P1501T1500!#002P1791T1500!#003P2151T1500!}
160.0,80.0,220.0,1,0,-24,1030,1513,1716,2141,{#000P1030T1500!#001P1513T1500!#002P1716T1500!#003P2141T1500!}
160.0,80.0,260.0,1,0,-11,1030,1489,1608,2129,{#000P1030T1500!#001P1489T1500!#002P1608T1500!#003P2129T1500!}
160.0,80.0,300.0,0,8,,,,,,
160.0,80.0,340.0,0,8,,,,,,
160.0,80.0,380.0,0,8,,,,,,
160.0,80.0,420.0,0,8,,,,,,
160.0,120.0,20.0,1,0,-80,1106,1092,1699,2152,{#000P1106T1500!#001P1092T1500!#002P1699T1500!#003P2152T1500!}
160.0,120.0,60.0,1,0,-71,1106,1217,1766,2143,{#000P1106T1500!#001P1217T1500!#002P1766T1500!#003P2143T1500!}
160.0,120.0,100.0,1,0,-61,1106,1300,1756,2162,{#000P1106T1500!#001P1300T1500!#002P1756T1500!#003P2162T1500!}
160.0,120.0,140.0,1,0,-49,1106,1372,1742,2159,{#000P1106T1500!#001P1372T1500!#002P1742T1500!#003P2159T1500!}
160.0,120.0,180.0,1,0,-36,1106,1425,1718,2139,{#000P1106T1500!#001P1425T1500!#002P1718T1500!#003P2139T1500!}
160.0,120.0,220.0,1,0,-23,1106,1444,1663,2117,{#000P1106T1500!#001P1444T1500!#002P1663T1500!#003P2117T1500!}
160.0,120.0,260.0,1,0,-10,1106,1411,1536,2115,{#000P1106T1500!#001P1411T1500!#002P1536T1500!#003P2115T1500!}
160.0,120.0,300.0,0,8,,,,,,
160.0,120.0,340.0,0,8,,,,,,
160.0,120.0,380.0,0,8,,,,,,
160.0,120.0,420.0,0,8,,,,,,
160.0,160.0,20.0,1,0,-72,1166,1046,1631,2114,{#000P1166T1500!#001P1046T1500!#002P1631T1500!#003P2114T1500!}
160.0,160.0,60.0,1,0,-65,1166,1143,1660,2131,{#000P1166T1500!#001P1143T1500!#002P1660T1500!#003P2131T1500!}
160.0,160.0,100.0,1,0,-56,1166,1220,1656,2145,{#000P1166T1500!#001P1220T1500!#002P1656T1500!#003P2145T1500!}
160.0,160.0,140.0,1,0,-45,1166,1290,1657,2133,{#000P1166T1500!#001P1290T1500!#002P1657T1500!#003P2133T1500!}
160.0,160.0,180.0,1,0,-33,1166,1337,1636,2112,{#000P1166T1500!#001P1337T1500!#002P1636T1500!#003P2112T1500!}
160.0,160.0,220.0,1,0,-20,1166,1372,1626,2060,{#000P1166T1500!#001P1372T1500!#002P1626T1500!#003P2060T1500!}
160.0,160.0,260.0,1,0,-7,1166,1339,1505,2052,{#000P1166T1500!#001P1339T1500!#002P1505T1500!#003P2052T1500!}
160.0,160.0,300.0,0,8,,,,,,
160.0,160.0,340.0,0,8,,,,,,
160.0,160.0,380.0,0,8,,,,,,
160.0,160.0,420.0,0,8,,,,,,
160.0,200.0,20.0,1,0,-62,1213,1001,1588,2038,{#000P1213T1500!#001P1001T1500!#002P1588T1500!#003P2038T1500!}
160.0,200.0,60.0,1,0,-56,1213,1091,1617,2055,{#000P1213T1500!#001P1091T1500!#002P1617T1500!#003P2055T1500!}
160.0,200.0,100.0,1,0,-48,1213,1163,1621,2064,{#000P1213T1500!#001P1163T1500!#002P1621T1500!#003P2064T1500!}
160.0,200.0,140.0,1,0,-38,1213,1231,1637,2042,{#000P1213T1500!#001P1231T1500!#002P1637T1500!#003P2042T1500!}
160.0,200.0,180.0,1,0,-27,1213,1271,1618,2020,{#000P1213T1500!#001P1271T1500!#002P1618T1500!#003P2020T1500!}
160.0,200.0,220.0,1,0,-15,1213,1285,1575,1987,{#000P1213T1500!#001P1285T1500!#002P1575T1500!#003P1987T1500!}
160.0,200.0,260.0,1,0,-1,1213,1311,1603,1881,{#000P1213T1500!#001P1311T1500!#002P1603T1500!#003P1881T1500!}
160.0,200.0,300.0,0,8,,,,,,
160.0,200.0,340.0,0,8,,,,,,
160.0,200.0,380.0,0,8,,,,,,
160.0,200.0,420.0,0,8,,,,,,
160.0,240.0,20.0,1,0,-50,1250,939,1543,1932,{#000P1250T1500!#001P0939T1500!#002P1543T1500!#003P1932T1500!}
160.0,240.0,60.0,1,0,-45,1250,1032,1590,1941,{#000P1250T1500!#001P1032T1500!#002P1590T1500!#003P1941T1500!}
160.0,240.0,100.0,1,0,-38,1250,1098,1597,1949,{#000P1250T1500!#001P1098T1500!#002P1597T1500!#003P1949T1500!}
160.0,240.0,140.0,1,0,-29,1250,1157,1610,1928,{#000P1250T1500!#001P1157T1500!#002P1610T1500!#003P1928T1500!}
160.0,240.0,180.0,1,0,-19,1250,1168,1543,1932,{#000P1250T1500!#001P1168T1500!#002P1543T1500!#003P1932T1500!}
160.0,240.0,220.0,1,0,-6,1250,1221,1614,1818,{#000P1250T1500!#001P1221T1500!#002P1614T1500!#003P1818T1500!}
160.0,240.0,260.0,0,8,,,,,,
160.0,240.0,300.0,0,8,,,,,,
160.0,240.0,340.0,0,8,,,,,,
160.0,240.0,380.0,0,8,,,,,,
160.0,240.0,420.0,0,8,,,,,,
160.0,280.0,20.0,1,0,-33,1279,869,1558,1722,{#000P1279T1500!#001P0869T1500!#002P1558T1500!#003P1722T1500!}
160.0,280.0,60.0,1,0,-30,1279,957,1588,1757,{#000P1279T1500!#001P0957T1500!#002P1588T1500!#003P1757T1500!}
160.0,280.0,100.0,1,0,-24,1279,1023,1604,1763,{#000P1279T1500!#001P1023T1500!#002P1604T1500!#003P1763T1500!}
160.0,280.0,140.0,1,0,-16,1279,1057,1577,1765,{#000P1279T1500!#001P1057T1500!#002P1577T1500!#003P1765T1500!}
160.0,280.0,180.0,1,0,-5,1279,1080,1570,1714,{#000P1279T1500!#001P1080T1500!#002P1570T1500!#003P1714T1500!}
160.0,280.0,220.0,0,8,,,,,,
160.0,280.0,260.0,0,8,,,,,,
160.0,280.0,300.0,0,8,,,,,,
160.0,280.0,340.0,0,8,,,,,,
160.0,280.0,380.0,0,8,,,,,,
160.0,280.0,420.0,0,8,,,,,,
160.0,320.0,20.0,0,8,,,,,,
160.0,320.0,60.0,0,8,,,,,,
160.0,320.0,100.0,0,8,,,,,,
160.0,320.0,140.0,0,8,,,,,,
160.0,320.0,180.0,0,8,,,,,,
160.0,320.0,220.0,0,8,,,,,,
160.0,320.0,260.0,0,8,,,,,,
160.0,320.0,300.0,0,8,,,,,,
160.0,320.0,340.0,0,8,,,,,,
160.0,320.0,380.0,0,8,,,,,,
160.0,320.0,420.0,0,8,,,,,,
160.0,360.0,20.0,0,8,,,,,,
160.0,360.0,60.0,0,8,,,,,,
160.0,360.0,100.0,0,8,,,,,,
160.0,360.0,140.0,0,8,,,,,,
160.0,360.0,180.0,0,8,,,,,,
160.0,360.0,220.0,0,8,,,,,,
160.0,360.0,260.0,0,8,,,,,,
160.0,360.0,300.0,0,8,,,,,,
160.0,360.0,340.0,0,8,,,,,,
160.0,360.0,380.0,0,8,,,,,,
160.0,360.0,420.0,0,8,,,,,,
160.0,400.0,20.0,0,8,,,,,,
160.0,400.0,60.0,0,8,,,,,,
160.0,400.0,100.0,0,8,,,,,,
160.0,400.0,140.0,0,8,,,,,,
160.0,400.0,180.0,0,8,,,,,,
160.0,400.0,220.0,0,8,,,,,,
160.0,400.0,260.0,0,8,,,,,,
160.0,400.0,300.0,0,8,,,,,,
160.0,400.0,340.0,0,8,,,,,,
160.0,400.0,380.0,0,8,,,,,,
160.0,400.0,420.0,0,8,,,,,,
